TaxonName,TaxonUsageID,MTB_Q,Longitude,Latitude,Timestep,Period,OP,OP_sd
Impatiens glandulifera,3063,23254,9.958333,53.625,1,1960 - 1987,0.4311,0.0081
Impatiens glandulifera,3063,23261,10.04167,53.675,1,1960 - 1987,0.3432,0.007
Impatiens glandulifera,3063,23262,10.125,53.675,1,1960 - 1987,0.3475,0.007
Impatiens glandulifera,3063,23263,10.04167,53.625,1,1960 - 1987,0.3909,0.0076
Impatiens glandulifera,3063,23264,10.125,53.625,1,1960 - 1987,0.3776,0.0075
Impatiens glandulifera,3063,23271,10.20833,53.675,1,1960 - 1987,0.2362,0.0052
Impatiens glandulifera,3063,23272,10.29167,53.675,1,1960 - 1987,0.1016,0.0024
Impatiens glandulifera,3063,23273,10.20833,53.625,1,1960 - 1987,0.2096,0.0047
Impatiens glandulifera,3063,23274,10.29167,53.625,1,1960 - 1987,0.1827,0.0042
Impatiens glandulifera,3063,23281,10.375,53.675,1,1960 - 1987,0.099,0.0024
Impatiens glandulifera,3063,23282,10.45833,53.675,1,1960 - 1987,0.1107,0.0026
Impatiens glandulifera,3063,23283,10.375,53.625,1,1960 - 1987,0.2362,0.0052
Impatiens glandulifera,3063,23284,10.45833,53.625,1,1960 - 1987,0.2091,0.0047
Impatiens glandulifera,3063,23291,10.54167,53.675,1,1960 - 1987,0.0875,0.0021
Impatiens glandulifera,3063,23292,10.625,53.675,1,1960 - 1987,0.084,0.002
Impatiens glandulifera,3063,23293,10.54167,53.625,1,1960 - 1987,0.0935,0.0022
Impatiens glandulifera,3063,23294,10.625,53.625,1,1960 - 1987,0.0991,0.0024
Impatiens glandulifera,3063,23301,10.70833,53.675,1,1960 - 1987,0.1234,0.0029
Impatiens glandulifera,3063,23302,10.79167,53.675,1,1960 - 1987,0.1527,0.0035
Impatiens glandulifera,3063,23303,10.70833,53.625,1,1960 - 1987,0.1638,0.0038
Impatiens glandulifera,3063,23304,10.79167,53.625,1,1960 - 1987,0.1145,0.0027
Impatiens glandulifera,3063,23311,10.875,53.675,1,1960 - 1987,0.1936,0.0044
Impatiens glandulifera,3063,23312,10.95833,53.675,1,1960 - 1987,0.1509,0.0035
Impatiens glandulifera,3063,23313,10.875,53.625,1,1960 - 1987,0.1478,0.0034
Impatiens glandulifera,3063,23314,10.95833,53.625,1,1960 - 1987,0.1633,0.0038
Impatiens glandulifera,3063,23321,11.04167,53.675,1,1960 - 1987,0.157,0.0036
Impatiens glandulifera,3063,23322,11.125,53.675,1,1960 - 1987,0.1713,0.0039
Impatiens glandulifera,3063,23323,11.04167,53.625,1,1960 - 1987,0.1692,0.0039
Impatiens glandulifera,3063,23324,11.125,53.625,1,1960 - 1987,0.1978,0.0045
Impatiens glandulifera,3063,23331,11.20833,53.675,1,1960 - 1987,0.1677,0.0039
Impatiens glandulifera,3063,23332,11.29167,53.675,1,1960 - 1987,0.1823,0.0042
Impatiens glandulifera,3063,23333,11.20833,53.625,1,1960 - 1987,0.1962,0.0044
Impatiens glandulifera,3063,23334,11.29167,53.625,1,1960 - 1987,0.2,0.0045
